"Service","Service Category","Visible?","Transportation?","Notes"
"Alarms/Locks/Security","Professional Home/Garden Servi","Yes","No",
"Answering Phones","Village Admin","No","No",
"Appliance Repair","Professional Home/Garden Servi","Yes","No",
"Auto Repair","Professional In-Home Support","Yes","No",
"Bill Paying / Paperwork","Volunteer In-Home Support","Yes","No",
"Board Meetings","Village Admin","Yes","No",
"Cell Phone Help","Technical Support","Yes","No",
"Chimneys-Repr.&Clean.","Professional Home/Garden Servi","Yes","No",
"Cloud Storage","Technical Support","Yes","No",
"Club Express","Technical Support","Yes","No",
"Club Express Work","Village Admin","No","No",
"Committee","Village Admin","Yes","No",
"Community Outreach (Covid-19)","Village Admin","Yes","No",
"Computer Repair","Technical Support","Yes","No",
"Const./Reno./Repairs","Professional Home/Garden Servi","Yes","No",
"Coronavirus Remote Assistance","Volunteer In-Home Support","Yes","No",
"Coronavirus Support Phone Call","Volunteer In-Home Support","Yes","No",
"Dementia Support","Professional In-Home Support","Yes","No",
"Dog Trainer/Walker - Professio","Professional In-Home Support","Yes","No",
"Electricians/Electric","Professional Home/Garden Servi","Yes","No",
"Electronics Set Up ","Technical Support","No","No",
"Email","Technical Support","Yes","No",
"Errands w/out Member","Volunteer In-Home Support","Yes","No",
"Event Carpool","Transportation","Yes","Yes",
"Event Planning","Village Admin","Yes","No",
"FB/SocMedia Admin","Professional In-Home Support","No","No",
"Flooring/Carpets","Professional Home/Garden Servi","Yes","No",
"Friendly Visit","Volunteer In-Home Support","Yes","No",
"Garden/Landscape-Prof. ","Professional Home/Garden Servi","Yes","No",
"Gardening/Yard Help -  Vol","Volunteer Home/Garden Service","Yes","No",
"General Errands","Coronavirus Community Support","Yes","No",
"Grocery Shopping","Coronavirus Community Support","Yes","No",
"hack4impact test service","Transportation","Yes","Yes",
"Handy Person-Prof","Professional Home/Garden Servi","Yes","No",
"Handy Person-Vol.","Volunteer Home/Garden Service","Yes","No",
"Heating/AC","Professional Home/Garden Servi","Yes","No",
"Home Health Care","Professional In-Home Support","Yes","No",
"Home Maintenance - Misc.","Professional Home/Garden Servi","No","No",
"Home Org/Downsizing - Prof","Professional Home/Garden Servi","Yes","No",
"Home Organizing ","Volunteer In-Home Support","Yes","No",
"Housecleaning-Prof.","Professional Home/Garden Servi","Yes","No",
"Household care","Volunteer In-Home Support","Yes","No",
"IT Consultant Office","Village Admin","Yes","No",
"Light Housekping Help","Volunteer In-Home Support","No","No",
"Long Dist Non-Med Professional","Transportation","Yes","Yes",
"Long Dist. - Med. Professional","Transportation","Yes","Yes",
"MAC Help","Technical Support","Yes","No",
"Mailings","Village Admin","No","No",
"McGraw to Purity","Transportation","No","Yes",
"Meal Support","Volunteer In-Home Support","Yes","No",
"MedScribe","Volunteer In-Home Support","Yes","No",
"Member Recruitment","Village Admin","No","No",
"Membership Calls","Village Admin","Yes","No",
"Movers","Professional Home/Garden Servi","Yes","No",
"Office Work - Misc.","Village Admin","Yes","No",
"Other - Referral","Volunteer In-Home Support","No","No",
"Painting-Prof.","Professional Home/Garden Servi","Yes","No",
"PC Help","Technical Support","Yes","No",
"PERS","Professional In-Home Support","No","No",
"Pest Control","Professional Home/Garden Servi","Yes","No",
"Pet Care -Vol","Volunteer In-Home Support","Yes","No",
"Phone Call Check-in","Volunteer In-Home Support","Yes","No",
"Photos","Technical Support","Yes","No",
"Plumbing/Drains/Sewer","Professional Home/Garden Servi","Yes","No",
"Prepared Food Delivery","Professional In-Home Support","Yes","No",
"Prescription Pickup","Coronavirus Community Support","Yes","No",
"Prof. Personal Assistant","Professional In-Home Support","Yes","No",
"Roofing/Gutters","Professional Home/Garden Servi","Yes","No",
"Septic/Excavation","Professional Home/Garden Servi","Yes","No",
"Sewing/Alterations","Volunteer In-Home Support","Yes","No",
"Snow Removal","Professional Home/Garden Servi","Yes","No",
"Social Media Help","Technical Support","No","No",
"Support Call","Volunteer In-Home Support","Yes","No",
"Tech. Support - Misc.","Technical Support","Yes","No",
"TV Devices","Technical Support","Yes","No",
"TV/Cable/Internet Problems","Technical Support","No","No",
"Vol Driver Family/Friend Visit","Transportation","Yes","Yes",
"Vol Driver LLH Programs/Events","Transportation","Yes","Yes",
"Vol Driver Local Medical Appt ","Transportation","Yes","Yes",
"Vol Driver Shopping/Errands","Transportation","Yes","Yes",
"Vol. Driver Local Bus/Airport","Transportation","Yes","Yes",
"Vol. Driver Misc. Trip","Transportation","Yes","Yes",
"Volunteer Support ","Village Admin","Yes","No",
"Volunteer Vetting","Village Admin","No","No",
"Welcome Visit","Volunteer In-Home Support","Yes","No",
"Windows and Glass - Repair","Professional Home/Garden Servi","Yes","No",
"Windows-Cleaning","Professional Home/Garden Servi","Yes","No",
"Yard Work-Prof.","Professional Home/Garden Servi","Yes","No",
"Yard Work-Vol.","Volunteer Home/Garden Service","No","No",
